host_city_canonical,year_month,avg_temp_c,sum_cdd_c,sum_hdd_c,avg_rh_pct,sum_precip_hundredths_mm,day_station_rows
Atlanta,2023-02,13.427244897959183,94.46499999999999,1065.4753999999998,68.10309030612248,56591.8,196
Atlanta,2023-03,13.978248847926277,93.90750000000003,1044.1906000000008,57.84890184331801,89866.7,217
Atlanta,2023-04,16.93557142857143,169.39419999999998,462.83320000000003,61.94924333333333,64557.100000000006,210
Atlanta,2023-05,20.392995391705064,588.6442,144.10470000000004,68.25731290322581,40276.100000000006,217
Atlanta,2023-06,23.876428571428576,1163.8656000000003,0.0,69.41763285714285,86495.59999999999,210
Atlanta,2023-07,27.35838709677418,1956.7665000000002,0.0,70.70537603686634,59270.9,217
Atlanta,2023-08,27.242626728110576,1927.0579000000007,0.0,71.38086820276496,88448.70000000003,217
Atlanta,2023-09,23.34080952380954,1055.5215999999998,1.0506,69.8013085714286,22424.300000000003,210
Atlanta,2023-10,17.757972350230418,239.31539999999984,366.3153,67.00478663594474,38931.700000000004,217
Atlanta,2023-11,12.398000000000007,11.766499999999999,1260.3627999999997,63.92506857142855,41485.9,210
Atlanta,2023-12,9.396866359446996,0.1751,1931.7651000000014,67.04932119815666,47660.29999999999,217
Atlanta,2024-01,7.107373271889401,7.985899999999999,2450.5922999999984,66.15049400921654,121536.80000000003,217
Atlanta,2024-02,10.921822660098528,3.2576,1510.4882,56.66437389162562,90618.39999999998,203
Atlanta,2024-03,14.578341013824891,20.377,837.239,63.20028110599079,120499.49999999997,217
Atlanta,2024-04,18.02085714285713,284.9562999999999,347.3066000000002,62.23921285714284,66471.6,210
Atlanta,2024-05,22.629585253456213,946.0392999999996,6.7645,71.17558387096776,61487.2,217
Atlanta,2024-06,26.381476190476196,1685.0260999999998,0.0,60.95914619047624,24513.999999999996,210
Atlanta,2024-07,27.65635944700461,2033.0950999999995,0.0,74.66965253456222,122500.99999999996,217
Atlanta,2024-08,26.96064516129031,1865.2716999999996,0.0,65.61167004608292,28729.6,217
Atlanta,2024-09,23.943761904761924,1186.8674000000005,0.0,71.95317095238097,123562.9,210
Atlanta,2024-10,18.897419354838707,402.89660000000015,289.2165999999999,65.51476958525342,587.6,217
Atlanta,2024-11,15.195095238095245,153.43000000000004,817.7437999999997,74.3332695238095,64566.0,210
Atlanta,2024-12,8.651797235023043,2.1951,2102.365200000001,66.0214059907834,78379.79999999999,217
Boston,2020-01,1.441935483870968,0.0,4724.1058,65.99983906810037,37197.5,279
Boston,2020-02,1.8032567049808426,0.0,4326.653600000001,66.08874789272032,67777.0,261
Boston,2020-03,5.470250896057345,0.0,3577.648300000003,60.371325089605705,81345.49999999999,279
Boston,2020-04,6.9759259259259245,0.0,3068.589800000001,63.68095703703704,121029.7,270
Boston,2020-05,13.757168458781361,140.88139999999999,1421.2210000000007,62.1300480286738,64792.0,279
